STT,Mô tả yêu cầu,Tác nhân
A,QUẢN TRỊ ĐƠN VỊ,
I,Quản lý cây đơn vị có trách nhiệm giải trình,
1,Tra cứu thông tin cây đơn vị,Quản trị hệ thống
2,Quản lý thông tin cây đơn vị,Quản trị hệ thống
3,Xem lịch sửa thay đổi từng cây đơn vị,Quản trị hệ thống
4,Quản lý cấp hành chính của đơn vị,Quản trị hệ thống
5,Đồng bộ cây đơn vị với CSDLQG về đơn vị hành chính,Quản trị hệ thống
6,Xuất danh sách cây đơn vị ra file,Quản trị hệ thống
II,Quản lý cán bộ thuộc đơn vị có trách nhiệm giải trình,
7,Tra cứu thông tin cán bộ,Quản trị hệ thống
8,Quản lý cán bộ,Quản trị hệ thống
9,Xuất đường dẫn liên kết theo đơn vị,Quản trị hệ thống
10,Tra cứu yêu cầu truy cập tài khoản,Quản trị hệ thống
11,"Đồng bộ cán bộ với CSDLQG về cán bộ, công chức",Quản trị hệ thống
12,Xuất cán bộ cây đơn vị,Quản trị hệ thống
III,Quản lý hồ sơ cán bộ,
13,Quản lý lịch sử công tác của cán bộ,Quản trị hệ thống
14,Xuất danh sách cán bộ theo đơn vị ra file,Quản trị hệ thống
15,Xuất sơ đồ nhân sự theo cây đơn vị,Quản trị hệ thống
16,Quản lý kỳ báo cáo công tác PCTN,Quản trị hệ thống
17,Tra cứu thông tin kỳ báo cáo,Quản trị hệ thống
18,Quản lý thông tin kỳ báo cáo,Quản trị hệ thống
19,Khai báo danh sách đơn vị phải báo cáo,Quản trị hệ thống
20,Tự động tạo báo cáo cho đơn vị trong danh sách,Quản trị hệ thống
21,Đóng/mở kỳ báo cáo,Quản trị hệ thống
22,Tải danh sách hồ sơ cán bộ lên hệ thống,Quản trị hệ thống
IV,Quản lý người có thẩm quyền giải trình,
23,Tra cứu thông tin người có thẩm quyền giải trình,Quản trị viên hệ thống
24,Quản lý thông tin người có thẩm quyền giải trình,Quản trị viên hệ thống
25,Quản lý người đại diện theo ủy quyền giải trình,Quản trị viên hệ thống
26,Quản lý thay đổi người có thẩm quyền giải trình,Quản trị viên hệ thống
V,Quản lý bộ phận tiếp nhận yêu cầu giải trình,
27,Tra cứu thông tin bộ phận tiếp nhận yêu cầu giải trình,Quản trị viên hệ thống
28,Quản lý thông tin bộ phận tiếp nhận yêu cầu giải trình,Quản trị viên hệ thống
29,Phân công cán bộ tiếp nhận theo lĩnh vực,Quản trị viên hệ thống
30,Quản lý lịch trực tiếp công dân của bộ phận tiếp nhận,Quản trị viên hệ thống
VI,"Quản lý nội quy, quy chế giải trình",
31,"Tra cứu thông tin nội quy, quy chế giải trình",Lãnh đạo đơn vị
32,"Quản lý thông tin tài liệu nội quy, quy chế giải trình",Lãnh đạo đơn vị
33,"Đăng tải nội quy, quy chế lên cổng thông tin công khai",Lãnh đạo đơn vị
VII,Khung tiêu chí đánh giá kết quả giải trình,
34,Cấu hình thông tin chỉ tiêu đánh giá,Quản trị TTCP
35,Thiết lập trọng số và phương thức tính điểm,Quản trị TTCP
VIII,Quản lý mẫu email/ thông báo hệ thống,
36,Tra cứu danh sách mẫu email/ thông báo hệ thống,Quản trị viên hệ thống
37,Quản lý mẫu email/ thông báo hệ thống,Quản trị viên hệ thống
IX,Quản lý mẫu SMS,
38,Tra cứu danh sách mẫu SMS,Quản trị viên hệ thống
39,Quản lý mẫu SMS/ thông báo hệ thống,Quản trị viên hệ thống
X,Cấu hình danh sách câu hỏi thường gặp,
40,Tra cứu danh sách câu hỏi thường gặp,Tất cả người dùng
41,Quản lý danh sách câu hỏi thường gặp,Quản trị viên hệ thống
XI,Danh mục phân loại theo lĩnh vực giải trình,
42,Tra cứu danh sách phân loại theo lĩnh vực giải trình,Tất cả người dùng
43,Quản lý danh sách phân loại theo lĩnh vực giải trình,Quản trị viên hệ thống
XII,Danh mục loại người đại diện,
44,Tra cứu danh sách loại người đại diện,Tất cả người dùng
45,Quản lý danh sách Loại người đại diện,Quản trị viên hệ thống
XIII,Danh mục chức vụ,
46,Tra cứu danh sách chức vụ,Tất cả người dùng
47,Quản lý danh sách chức vụ,Quản trị viên hệ thống
XIV,Danh mục Loại cơ quan,
48,Tra cứu danh sách loại cơ quan,Tất cả người dùng
49,Quản lý danh sách Loại cơ quan,Quản trị viên hệ thống
